index,dataset,BLEU,SacreBLEU,chrF++,ROUGE1,ROUGE2,ROUGEL,ROUGELsum,BLEU_latin,SacreBLEU_latin,chrF++_latin,ROUGE1_latin,ROUGE2_latin,ROUGEL_latin,ROUGELsum_latin,prompt_id
0,stif_indonesia_nusantara_t2t,1.8876606015018245,2.0039884497424163,24.74577324947021,13.624513209626327,5.325783231175131,12.612062976467925,12.563323124495446,1.8124438744245643,1.9298459728378055,24.722914995964487,13.615163514938091,5.2293355409127305,12.531559085987286,12.526595055390382,0
1,stif_indonesia_nusantara_t2t,5.222989029694201,5.490417999664892,35.22310260276728,25.729972860648942,13.350436772305804,24.9877603924889,24.889625803685355,5.135808044682537,5.40517806172203,35.19315850703013,25.66022126099306,13.29934869567385,24.88930009657995,24.965665828341397,1
2,stif_indonesia_nusantara_t2t,6.056317453754128,6.908310026376434,29.03093721593225,16.136169325355095,9.76280826146178,16.096407254133393,15.966373209408125,6.059305623523,6.909701288158043,29.031574737662964,16.11614214312374,9.750429396444337,16.04366079512426,15.96047692213105,2
3,stif_indonesia_nusantara_t2t,4.301324393439742,4.616221666515028,31.92556938871739,22.55431095673439,11.479909306683028,21.66612357746646,21.72537407751241,4.302033539353446,4.613845307505235,31.926106237166398,22.57371873915653,11.480150464864728,21.751608553417544,21.671415984746247,3
4,stif_indonesia_nusantara_t2t,5.9838493625482725,6.47707463345522,31.950990169062727,21.5670989351325,11.329228255696117,21.173956937159343,21.080508877364704,5.908469078168089,6.403168227864525,31.928427692903917,21.47798507134773,11.322641469871183,21.164173465337864,21.12684359883536,4
5,tydiqa_id_nusantara_qa,33.41939573036425,33.60069754911952,64.43954197078745,61.57023066720358,44.712782571241036,61.36093950139853,61.32904602019281,32.97684946932114,33.2155659649821,64.1923669058481,61.066994483356375,44.114377838589185,61.04743985223357,60.84055533111579,0
6,tydiqa_id_nusantara_qa,18.95606552486358,19.040163418982917,56.871298999312,49.225511903593656,35.63678080750871,48.930508485252794,48.81112633413439,18.68656004256937,18.80633607900822,56.663156952752935,48.786977503736104,35.01850828456211,48.36261598724413,48.455396648507666,1
7,tydiqa_id_nusantara_qa,33.579635072663066,33.771495181922376,64.35014606687912,62.017195763350884,45.10674519120237,61.90456606628925,61.73704600025511,33.14932792702548,33.3942173063464,64.14092332568464,61.43093971963989,44.11265730582555,61.154373916728545,61.303233604081896,2
8,tydiqa_id_nusantara_qa,32.01749585909736,32.133188149381965,63.10267142813043,61.44189855779236,45.11910249482457,61.13900809569088,61.1514074655533,31.49792471883433,31.73404372671506,62.82900027160855,60.86110091398198,44.4264220114779,60.49415401839815,60.538806465328946,3
9,tydiqa_id_nusantara_qa,36.605288759144045,36.74331387842291,64.76171452518933,65.64710664031945,47.61677634227027,65.53374041912213,65.56269168782723,36.19002612247091,36.36969388623628,64.54636273130782,65.35946107658945,47.0066871372234,65.04813685099901,65.06940883053718,4
10,xl_sum_nusantara_t2t,1.509075001176172,1.4830515301279161,22.541380181128805,13.712557953061705,3.179278505198117,11.076619709466218,11.080360967729707,1.5106644595005392,1.4861301224345567,22.543399759498623,13.717800842800937,3.1828824051182982,11.080341100737748,11.083296803804549,0
11,xl_sum_nusantara_t2t,1.6614389835087038,1.64799535279394,29.2041342206005,15.998859754722924,3.734336258184528,12.09691728083708,12.101719958686278,1.663746813651218,1.6472870488188505,29.205364251728877,15.981090146520815,3.7372659654255793,12.100336815341853,12.091418694791653,1
12,xl_sum_nusantara_t2t,1.326492726632801,1.2819986216499233,20.372176775652594,11.42177709415976,2.5809075182179697,9.301555643943502,9.292207681077242,1.325117794707727,1.28151737086103,20.381649447603408,11.427406372593413,2.5784587722800185,9.307939514991846,9.313865990015705,2
13,xl_sum_nusantara_t2t,1.7348648778685658,1.7097776606296589,26.442465974591794,15.474878727169935,3.724627716468851,12.12863107950343,12.120682125224338,1.7365654761467568,1.7100412910861351,26.444526877128855,15.475713274286724,3.7224678110170273,12.13702109588545,12.127889815341769,3
14,xl_sum_nusantara_t2t,1.6719249021663471,1.6581866685344944,29.698387490572188,16.469910267888572,3.784222549020433,12.34594914100541,12.350663540390606,1.6734403537230067,1.6579946524745457,29.69902653635585,16.48735179911612,3.787652537071351,12.352886767655221,12.349794147928252,4
15,xpersona_id_nusantara_t2t,0.17125634477632612,0.2061655947033691,18.16205413420663,6.284325440493133,0.6410288261621625,5.442224429457047,5.439702572324131,0.17125765693568476,0.20616240400948785,18.16199926273679,6.274653458806534,0.6387117735118277,5.4407749191580095,5.445045291060674,0
16,xpersona_id_nusantara_t2t,0.10170911808231298,0.12597509621045855,10.14667559230875,1.5937815197103338,0.18249174027958875,1.4266844403963423,1.4344266730226332,0.10173084069114559,0.12593482179921833,10.14667559230875,1.5907659063403758,0.1833235333364589,1.4338853117125179,1.4310857122755176,1
17,xpersona_id_nusantara_t2t,0.07901238128010142,0.09501467643456991,12.336806944401415,2.13851638800464,0.16644534238623804,1.913089979112256,1.919290763005209,0.07899968740622784,0.09491945610996254,12.337223853505074,2.1306120504191295,0.16585242318430943,1.9085073643336088,1.91431082038006,2
18,xpersona_id_nusantara_t2t,0.2747549268816866,0.3213844746515334,17.557367689343774,6.1423357905487705,0.6980031015137427,5.282929865615195,5.28693470433791,0.27476832837136045,0.3213686210853469,17.557534943355233,6.1339779109060695,0.6955154795166676,5.290443099016719,5.291777142015618,3
