index,dataset,prompt_id,prompt_lang,accuracy,micro_prec,micro_rec,micro_f1_score,macro_prec,macro_rec,macro_f1_score,weighted_prec,weighted_rec,weighted_f1_score
0,code_mixed_jv_id_jv_nusantara_text,0,eng,0.14943705220061412,0.14943705220061412,0.14943705220061412,0.14943705220061412,0.37991718426501037,0.3584474885844749,0.12845299872148652,0.16874765570862763,0.14943705220061412,0.05482586054870767
1,code_mixed_jv_id_jv_nusantara_text,1,eng,0.14841351074718526,0.14841351074718526,0.14841351074718526,0.14841351074718526,0.3496141539619801,0.35616438356164387,0.12420671422042497,0.15516246914493542,0.14841351074718526,0.052922203832776286
2,code_mixed_jv_id_jv_nusantara_text,2,eng,0.1535312180143296,0.1535312180143296,0.1535312180143296,0.1535312180143296,0.31013075486210306,0.3675799086757991,0.14294823809919877,0.13744848131572932,0.1535312180143296,0.061304029099463156
3,code_mixed_jv_id_jv_nusantara_text,3,eng,0.15660184237461616,0.15660184237461616,0.15660184237461616,0.15660184237461616,0.3221827241515511,0.37424319296465414,0.15698313600411504,0.14285666305334424,0.15660184237461616,0.06760649218293928
4,code_mixed_jv_id_jv_nusantara_text,4,eng,0.15660184237461616,0.15660184237461616,0.15660184237461616,0.15660184237461616,0.23753917702962288,0.374057162185016,0.15599227784703093,0.10490182290963312,0.15660184237461616,0.06715231499955665
5,id_google_play_review_nusantara_text,0,eng,0.764513375071144,0.764513375071144,0.764513375071144,0.764513375071144,0.41472324238618113,0.43881863494559054,0.3918135370151609,0.743811988868813,0.764513375071144,0.7378907991036273
6,id_google_play_review_nusantara_text,1,eng,0.5990324416619237,0.5990324416619237,0.5990324416619237,0.5990324416619237,0.33879216486217384,0.4044364542844433,0.3129979179679621,0.7255614191649313,0.5990324416619237,0.6263048543019213
7,id_google_play_review_nusantara_text,2,eng,0.7867103016505407,0.7867103016505407,0.7867103016505408,0.7867103016505407,0.44066381594751014,0.43081256914763044,0.390020936909138,0.754160056718937,0.7867103016505407,0.7493233866283575
8,id_google_play_review_nusantara_text,3,eng,0.7138588503130335,0.7138588503130335,0.7138588503130336,0.7138588503130335,0.3779957177325598,0.43368905754235393,0.36809580106856565,0.7324655290423796,0.7138588503130335,0.7054501176551433
9,id_google_play_review_nusantara_text,4,eng,0.7746158224245874,0.7746158224245874,0.7746158224245874,0.7746158224245874,0.43259391452716106,0.4241072465994257,0.3701728327063514,0.7518096184102748,0.7746158224245874,0.7367378103725224
